"Header1","Header2","Header3"
"auditor","mutual transfer case ","1"
"auditor","need a good mentor to enhance my skills ","1"
"auditor","noting & drafting","1"
"auditor","noting of replies","1"
"auditor","office work & field work","1"
"auditor","overseas audit","1"
"auditor","payment processing of jawans","1"
"auditor","pfms","1"
"auditor","post audit the medical bills ","1"
"auditor","preparing material for half yearly review meeting as mandated by transfer policy for allocation of staff on separation of cadres in the audit offices of andhra pradesh and telangana","1"
"auditor","preparing proposals for engagement of retired officers on short term contract basis","1"
"auditor","preparing proposals when candidates report for joining","1"
"auditor","process the medical bills","1"
"auditor","procurement of various it tools required for the functioning of the office","1"
"auditor","promotion","1"
"auditor","renew tenure of welfare   assistant","1"
"auditor","repatriation requests","1"
"auditor","report making","1"
"auditor","resignation","1"
"auditor","revenue receipt estimate, revised revenue receipt estimate, budget estimate & revised budget estimate of pensions of ia&ad","1"
"auditor","review of deputation","1"
"auditor","store accounting & audit of army units","1"
"auditor","supports drafting of proposals","1"
"auditor","system administrator of various software running in the department","1"
"auditor","ta bills","1"
"auditor","un audit","1"
"auditor","update of official website","1"
"auditor","use of technology to reduce the clerkial works","1"
"auditor","use of utility tools","1"
"auditor","verification of caste certificates ","1"
"auditor","verification of character and antecedents of candidates","1"
"auditor","washington audit","1"
"auditor","work in administration section and deal chgs and ama seat","1"
"superintendent","administration","2"
"superintendent","data analysis","2"
"superintendent","  detection of frauds using tools provided by cbic. ","1"
"superintendent"," adjudication","1"
"superintendent"," anti-smuggling activities   ","1"
"superintendent"," checks the facts with regards to proposal keeping in mind existing rules, provisions, and legal precedents  supplies missing facts to a proposal if any information is missing   supports drafting of proposals  -   quotes previous precedents by referring to existing rules","1"
"superintendent"," classification of goods and services","1"
"superintendent"," excel sheet and ppt presentation ","1"
"superintendent"," investigation","1"
"superintendent"," issuance of nrc's in respect of group 'a' officers. processing of apar representations in group 'a' officers.  rti","1"
"superintendent"," prepare reports ","1"
"superintendent"," seizure","1"
"superintendent"," send emails","1"
"superintendent","1.physical verification submission.","1"
"superintendent","2.restoration cencelled registration.","1"
"superintendent","accounts","1"
"superintendent","activities related to statistical data","1"
"superintendent","administration of postal division","1"
"superintendent","administration of postal services","1"
"superintendent","airport customs ","1"
"superintendent","all the ancillary activities pertaining to training's are also looked after","1"
"superintendent","analyse the data to create cases in gst.","1"
"superintendent","approval of cancellation applied by tax payers and gstin.","1"
"superintendent","arrange meetings and prepare minutes of meeting","1"
"superintendent","arrest","1"
"superintendent","assessment of bill of entry","1"
"superintendent","audit","1"
"superintendent","audit of gst registered units","1"
"superintendent","billing and invoicing","1"
"superintendent","checks the facts with regards to proposal keeping in mind existing rules, provisions, and legal precedents. ","1"
"superintendent","collection of intelligence and investigations under the cgst act","1"
"superintendent","compliance regulations","1"
"superintendent","conducting webinars and outreach programmes","1"
"superintendent","coordination with allied stakeholders and preparation of different sop","1"
"superintendent","customer service","1"
"superintendent","data analysis, identification, scrutiny, investigation","1"
"superintendent","data analytics and anti smuggling operations.","1"
"superintendent","data handling","1"
"superintendent","detection of commercial frauds","1"
"superintendent","dgarm reports.","1"
"superintendent","disciplinary proceedings ","1"
"superintendent","dissemination of information to the taxpayers","1"
"superintendent","drafting","1"
"superintendent","establishment","1"
"superintendent","etc.","1"
"superintendent","examination","1"
"superintendent","examine the writ petitions. seek reply. verify and get it filed. examine court orders. ","1"
"superintendent","gst","1"
"superintendent","gst scrutiny.","1"
"superintendent","gst superintendent related works","1"
"superintendent","inspections of cgst and customs commissionerates","1"
"superintendent","intelligence collection, investigation, data mining, data analysis","1"
"superintendent","intelligence gathering","1"
"superintendent","interdepartmental collaboration","1"
"superintendent","legal","1"
"superintendent","legal translation","1"
"superintendent","legal work","1"
"superintendent","legislative drafting","1"
"superintendent","legislative work","1"
"superintendent","managing execution of in-house training programs","1"
"superintendent","notesheet","1"
"superintendent","operational efficiency and safety","1"
"superintendent","operations planning","1"
"superintendent","overall supervision of customs work processing","1"
"superintendent","policy matters","1"
"superintendent","prevention of smuggling & recovery of govt. dues etc","1"
"superintendent","problem anticipation and resolution","1"
"superintendent","records organization and management","1"
"superintendent","registration amendment.","1"
"superintendent","scrutinize the gst returns/defaulters and import/export consignments and take steps to recover gst/customs duty","1"
"superintendent","scrutiny of financial records","1"
"superintendent","scrutiny of gst returns","1"
"superintendent","search","1"
"superintendent","staff training","1"
"superintendent","to check whether the material requires any modification","1"
"superintendent","understand the software technical terms ","1"
"superintendent","warehouse management","1"
"superintendent","workforce management","1"
"scientist b","software development","5"
"scientist b","artificial intelligence","2"
"scientist b","cyber security","2"
"scientist b","data analysis","2"
"scientist b","management","2"
"scientist b"," code reviews","1"
"scientist b"," configure servers","1"
"scientist b"," developing softwares for smooth functioning","1"
"scientist b"," provide technical support ","1"
"scientist b"," research ","1"
"scientist b","analysis","1"
"scientist b","analysis and design of software product ","1"
"scientist b","attend meetings","1"
"scientist b","business analytics","1"
"scientist b","carrying out research","1"
"scientist b","case exhibit examination in forensic toxicology, guiding students","1"
"scientist b","climate change related study vis-a-vis water resources","1"
"scientist b","computer research","1"
"scientist b","cybersecurity","1"
"scientist b","data center network","1"
"scientist b","data center operations and management","1"
"scientist b","demand driven hydrological studies","1"
"scientist b","designing of system","1"
"scientist b","develop and maintain different e-governance  portal of government of india.","1"
"scientist b","development","1"
"scientist b","devops","1"
"scientist b","extension ","1"
"scientist b","innovative ideas  ","1"
"scientist b","launching of system","1"
"scientist b","lead","1"
"scientist b","learning updating etc","1"
"scientist b","machine learning","1"
"scientist b","manage","1"
"scientist b","managing information systems, training, maintenance and hardware support.","1"
"scientist b","managing staff","1"
"scientist b","medical research in tuberculosis to support the national tb elimination program and end tb strategy of who","1"
"scientist b","ml","1"
"scientist b","policies drafting","1"
"scientist b","preparation of service definition document","1"
"scientist b","promotion, planning, design, development and implementation of computerisation service of nic to a department of government or an associated organisation development and implementation of information systems, expert systems.","1"
"scientist b","promotion, planning, design, development and implementation of computerisation service of nic to a department of government or an associated organisation development and implementation of information systems, expert systems. my job also involves managing information systems, training, maintenance and hardware support. i am required to undertake field visits for successful implementation of the project with respect to all technical aspects.","1"
"scientist b","research","1"
"scientist b","research and development in various activities to be performed in cloud technology like providing different services to government organizations","1"
"scientist b","research and development services ","1"
"scientist b","research on  sugarcane soils","1"
"scientist b","research&development","1"
"scientist b","scientific and co-ordinate with the system","1"
"scientist b","scientific, administrative and lab management","1"
"scientist b","scrutiny of proposals","1"
"scientist b","software engineering","1"
"scientist b","software testing","1"
"scientist b","system design and development","1"
"scientist b","teach","1"
"scientist b","teaching","1"
"scientist b","technology transfer and capacity building","1"
"scientist b","to execute the research after getting the research funding","1"
"scientist b","to publish the findings and thereby targeting for a translational research","1"
"scientist b","to write research proposals on prevention detection screening treatment or management of tb","1"
"scientist b","training","1"
"scientist b","understanding the system requirements of user department and designing the system accordingly.","1"
"scientist b","undertake field visits for successful implementation of the project with respect to all technical aspects.","1"
"scientist b","user acceptance testing","1"
"scientist b","website development using java spring boot and angular.","1"
"scientist b","write code","1"
"scientist b","writing articles","1"
"scientist b","writing research proposals","1"
"section officer"," check with regards to rules and procedures as defined in gfr/dfpr","1"
"section officer"," coordination ","1"
"section officer"," data analysis","1"
"section officer"," discussions","1"
"section officer"," field visit","1"
"section officer"," geoinformatics","1"
"section officer"," managing consultants","1"
"section officer"," minutes of meeting","1"
"section officer"," monitoring ","1"
"section officer"," monitoring of capital works expenditure","1"
"section officer"," promotions ","1"
"section officer"," request to ministry for release of funds for purchase of lab equipments","1"
"section officer"," scientific activities management","1"
"section officer","-liaiase with local government","1"
"section officer","-prepare commercial report","1"
"section officer","-prepare political reports ","1"
"section officer","-promote commercial activities","1"
"section officer","1. check the promotion, macp, nfsg, etc. financial upgradation ;","1"
"section officer","2. supervises maintenance of leave records, service records, etc.","1"
"section officer","3. process pension through bhavishya portal.","1"
"section officer","4. supervises disciplinary proceedings under ccs(cca) rules","1"
"section officer","5. conducts government litigation ","1"
"section officer","6. as rajbhasha adhikari ensures implementation of official language related provisions in the office.","1"
"section officer","7. as ddo process all types of payments to government officials'claims and vendor payments through pfms. ","1"
"section officer","8. ensures implementation of financial rules., procedures, fiscal codes, etc.","1"
"section officer","9. as accounts incharge checks sanction and maintain accounts of office.","1"
"section officer","accounts","1"
"section officer","administration","1"
"section officer","administration matters","1"
"section officer","administration related matter","1"
"section officer","administrative activitites","1"
"section officer","all issues arising from financial institutions","1"
"section officer","all the works assigned to the section by the senior officers  ","1"
"section officer","capital infusion","1"
"section officer","checks the facts with regards to proposal keeping in mind existing rules, provisions.  ","1"
"section officer","classify record review files and recommend action","1"
"section officer","collect and collaborate data from different sources","1"
"section officer","communication","1"
"section officer","computer hardware management","1"
"section officer","computer infrastructure management","1"
"section officer","contribute efforts towards the output of the section  ","1"
"section officer","coordination","1"
"section officer","coordination policy","1"
"section officer","coordination w.r.t. activities required for smooth functioning of office of honourable cabinet minister ","1"
"section officer","coordination with other organization ","1"
"section officer","corrospondance","1"
"section officer","court cases","1"
"section officer","cyber security","1"
"section officer","cyber threats detection and avoidance","1"
"section officer","data management ","1"
"section officer","dealing with disciplinary cases","1"
"section officer","delete obsolete information","1"
"section officer","delibration and meetings","1"
"section officer","disciplinary cases","1"
"section officer","e office","1"
"section officer","ensuring correct and timely entry of decision with all the relevant information on the portal","1"
"section officer","ensuring proper updation of online portal e samiksha ","1"
"section officer","estabilishment","1"
"section officer","establishment matters","1"
"section officer","estimation","1"
"section officer","examination and providing guidance as per extant rules and instructions of government of india.","1"
"section officer","fact sheet on scheme","1"
"section officer","finance","1"
"section officer","framing and amendment of recruitment rules","1"
"section officer","fund transfer","1"
"section officer","helping subordinate officers ","1"
"section officer","inventory","1"
"section officer","issue of rfc numbers for all extramural/intramural projects of icmr","1"
"section officer","management of human resouorces","1"
"section officer","managing section","1"
"section officer","medical reimbursement ","1"
"section officer","monitoring and supervising the work allocated to my section regarding autonomous bodies such as cbse","1"
"section officer","monitoring of budget and expenditure","1"
"section officer","monitoring of grievances received at portal as well as physical. noting and drafting relating to the grievances ","1"
"section officer","monitoring of ongoing projects to ensure their time bound completion ","1"
"section officer","monitoring of task","1"
"section officer","monitoring of vip references, parliamentary matters such as government assurances,  zero hour matters, special mentions, etc, for their disposal within prescribed time limits","1"
"section officer","parliamentary questions and related activities","1"
"section officer","performing the sectoral side for niti aayog which includes dealing with all the work of niti aayog related to committee of secretaries.","1"
"section officer","personal grievances","1"
"section officer","planning and organizing workshop/training","1"
"section officer","preparation of various reports related to monitoring","1"
"section officer","preparing meeting schedules","1"
"section officer","presentation","1"
"section officer","processed court matters","1"
"section officer","project monitoring","1"
"section officer","purchase","1"
"section officer","purchasing","1"
"section officer","quotes past cases by referring to rules and procedures","1"
"section officer","reading","1"
"section officer","recruitment","1"
"section officer","recruitment through various agencies","1"
"section officer","reservation rosters","1"
"section officer","right to information issues","1"
"section officer","scrutinize proposals submitted for financial concurrence","1"
"section officer","solution to any problem of section","1"
"section officer","stores","1"
"section officer","supervising the work of section.","1"
"section officer","supervision ","1"
"section officer","supplies missing facts to a proposal if any information is missing","1"
"section officer","support drafting ","1"
"section officer","supports drafting of proposals","1"
"section officer","transfers","1"
"section officer","update missing details","1"
"section officer","vigilance","1"
"section officer","work as per the direction/suggestion of superior officers.","1"
"section officer","works as well as supervise works allocated to me","1"
"scientist c"," business process re-engineering","1"
"scientist c","1. identification of donors for higher grain yield, biotic/abiotic resistance/ tolerance, quality traits and other targeted traits (earliness, erect, tall) based on the field/laboratory screening of breeding material    2. incorporation of genes from trait specific donors including pre-breeding lines for transfer desirable traits into existing cultivars/selected agronomic base through hybridization and hybridity testing of f1 plants/ candidates/identified breeding lines  3. evaluation of newly and existing segregated material including f1s’  4. selection of recombinants from the newly developed breeding lines and existing lines for earliness, plant type, seed number/plant with higher grain yield and suitability under different agro-ecological zones of india   5. screening of newly developed and existing breeding lines against the major diseases   6. yield evaluation trails (station trials/preliminary yield trials) of newly developed and existing advanced breeding lines with desired  agronomic traits  7. multilocation evaluation of newly developed and existing superior lines under all india coordinated research projects /state adoptive trials  8. maintenance breeding of icar-iipr released and old varieties  9. phenotyping of trait specific mapping populations   10. genotyping of trait specific mapping populations   11. marker-trait association analysis for identifying molecular markers linked to targeted traits ","1"
"scientist c","adherence to timelines","1"
"scientist c","agricultural biotechnology","1"
"scientist c","agricultural research","1"
"scientist c","blockchain","1"
"scientist c","capacity building","1"
"scientist c","carry out experiments","1"
"scientist c","compliance monitoring of environment clrearance conditions. ","1"
"scientist c","coordinate and troubleshooting for egovernance applications","1"
"scientist c","coordination","1"
"scientist c","creating new electrical test facilities as per indian and international standards","1"
"scientist c","creating new laboratory infrastucture","1"
"scientist c","data center","1"
"scientist c","design solution architectures and mentoring the team.   ","1"
"scientist c","documentation and reports","1"
"scientist c","dope testing and r & d in analytical techniques","1"
"scientist c","establishment accounts procurement ","1"
"scientist c","genetic evaluation and improvement of sheep flock maintained at institute farm as well as field flocks","1"
"scientist c","imparts training to various stakeholders","1"
"scientist c","involved in food testing","1"
"scientist c","ir&a","1"
"scientist c","liasoning","1"
"scientist c","managing deployment deliverables","1"
"scientist c","managing programs related to the capacity building activities in the area of biotechnology in the country","1"
"scientist c","managing the electrical laboratory as per iso 17025:2017","1"
"scientist c","monitoring progress","1"
"scientist c","performing vigilance officer duties","1"
"scientist c","planning","1"
"scientist c","planning, coordination and management of s&t related  projects","1"
"scientist c","policy formulation","1"
"scientist c","procurement and disposal of equipments as per gfr 2017","1"
"scientist c","program managament","1"
"scientist c","project management","1"
"scientist c","promotion planning, design, development and implementation of computerization services","1"
"scientist c","public dealing","1"
"scientist c","r and d activities","1"
"scientist c","requirement gathering","1"
"scientist c","research","1"
"scientist c","research on processing and and value addition of agricultural produce","1"
"scientist c","resource allocation","1"
"scientist c","sanction of grants","1"
"scientist c","skill development training for entrepreneurs in food processing","1"
"scientist c","skill development training for farmers","1"
"scientist c","software development","1"
"scientist c","standard development","1"
"scientist c","study and analysis","1"
"scientist c","technology upskilling","1"
"scientist c","training the newly joined employees","1"
"scientist c","vapt","1"
"senior auditor","audit","3"
"senior auditor","accounts","2"
"senior auditor","compliance audit","2"
"senior auditor","data analysis","2"
"senior auditor"," calendar of returns","1"
"senior auditor"," deputation related work","1"
"senior auditor"," drafting of report","1"
"senior auditor"," financial audit","1"
"senior auditor"," it audit","1"
"senior auditor"," manintence of budget allocation","1"
"senior auditor"," travelling allowance bill preparation","1"
"senior auditor","administrative works","1"
"senior auditor","analysis","1"
"senior auditor","assessment of training needs analysis","1"
"senior auditor","audit of accounts and transactions","1"
"senior auditor","audit of corporations","1"
"senior auditor","audit of govt companies","1"
"senior auditor","audit of govt departments","1"
"senior auditor","audit of statutory authorities","1"
"senior auditor","auditing","1"
"senior auditor","automatic tour programme generation","1"
"senior auditor","bill processing through ibems","1"
"senior auditor","bpr","1"
"senior auditor","cea bill preparation","1"
"senior auditor","clerical work","1"
"senior auditor","co-ordinating with various rti/rtcs","1"
"senior auditor","compilation of data in excel","1"
"senior auditor","computerisation of inspection report","1"
"senior auditor","consulting","1"
"senior auditor","coordination","1"
"senior auditor","data analytics ","1"
"senior auditor","desk job","1"
"senior auditor","diary","1"
"senior auditor","dp related work","1"
"senior auditor","establishment work","1"
"senior auditor","finance","1"
"senior auditor","headquarters correspondence in administrative matter","1"
"senior auditor","it security ","1"
"senior auditor","ltc bill preparation ","1"
"senior auditor","maintenance of service book","1"
"senior auditor","movement register","1"
"senior auditor","new pension scheme related work","1"
"senior auditor","new recruitment related work","1"
"senior auditor","noting and drafting","1"
"senior auditor","pension and deputation  related activities","1"
"senior auditor","performance audit","1"
"senior auditor","request of slots ","1"
"senior auditor","rule position and calculation checking in bills","1"
"senior auditor","sports quota related work","1"
"senior auditor","to develop ltars into draft para","1"
"senior auditor","vetting of audit inspection report and reply","1"
"senior auditor","work related to departmental canteen","1"
"senior auditor","work related to departmental sports","1"
"senior auditor","work related to pay fixation","1"
"senior auditor","work related to transfer & posting","1"
"incharge","manager","6"
"incharge","management","5"
"incharge","supervisor","4"
"incharge","postmaster","1"
"incharge","supervision","1"
"incharge","supervisior","1"
"incharge","to manage daily post office related work for better services to our customer.","1"
"scientist e","project management","2"
"scientist e","research","2"
"scientist e"," build prototype through industry","1"
"scientist e"," ensure quality of the military hardwares through testing","1"
"scientist e"," expolre ","1"
"scientist e"," guiding  team for smooth operation","1"
"scientist e"," iv&v of all the software life cycle data","1"
"scientist e"," monitoring search and seizure activities","1"
"scientist e"," planning and coordination","1"
"scientist e"," planning and strategy for customization","1"
"scientist e"," r&d of centre","1"
"scientist e"," report generation","1"
"scientist e"," support for enhancement of ehrms product","1"
"scientist e","* animal nutritional research to improve the performance and productivity of farm animals ","1"
"scientist e","* interactions with stakeholders ","1"
"scientist e","* providing technical guidance to the farmers","1"
"scientist e","* sharing the scientific method of feeding livestock","1"
"scientist e","capture user requirement","1"
"scientist e","checks the facts with regards to proposal keeping in mind existing rules, provisions, and legal precedents","1"
"scientist e","conformity assessment","1"
"scientist e","coordination with implementing agencies","1"
"scientist e","design and development of airborne structural parts","1"
"scientist e","design the military systems from first principles","1"
"scientist e","development","1"
"scientist e","development of vendors for defence products","1"
"scientist e","electromagnetic evaluation of materials and components","1"
"scientist e","finalizing activities to be carried out for software certification","1"
"scientist e","formulation of guidelines for various programmes.","1"
"scientist e","help district administration in various it related activities.","1"
"scientist e","hiring of outsourced personneals","1"
"scientist e","hiring outsourced manpower for managing day to day activity of cloud infrastructure","1"
"scientist e","implementaion","1"
"scientist e","implementation of various it projects developed by nic in district.","1"
"scientist e","international cooperation","1"
"scientist e","make in india and atmanirbhar bharat","1"
"scientist e","managing complaints","1"
"scientist e","media communication","1"
"scientist e","monitoring of performance","1"
"scientist e","monitroing ","1"
"scientist e","operational data incharge","1"
"scientist e","organization of outreach activities","1"
"scientist e","other activities of centre","1"
"scientist e","parliamentary matters ","1"
"scientist e","performance evaluation","1"
"scientist e","planning & coordination with technical divisions to ensure timely deliveries of prototypes","1"
"scientist e","policy matters ","1"
"scientist e","procurement of stores","1"
"scientist e","product research and development","1"
"scientist e","prototype fabrication using cnc and additive manufacturing technologies","1"
"scientist e","providing better work environment to co-workers for execution of job orders","1"
"scientist e","research and development in the area of electromagnetic signature management","1"
"scientist e","research grant management","1"
"scientist e","rti","1"
"scientist e","sanctioning of grants","1"
"scientist e","scientific administration","1"
"scientist e","scientific management","1"
"scientist e","scientific project management","1"
"scientist e","scrutiny of proposals","1"
"scientist e","technical development","1"
"scientist e","test the military systems in field conditions along with army","1"
"scientist e","training","1"
"scientist e","training and hand holding of district administration and state and central govt departments","1"
"scientist e","upgradation of infrastructure and machinery","1"
"scientist e","verifying the compliance to planned activities leading to certification","1"
"scientist e","video conference holding","1"
"scientist d"," design and development of e-governance applications for g2b","1"
"scientist d"," design and development of e-governance applications for g2c","1"
"scientist d"," project implemention","1"
"scientist d"," research publications","1"
"scientist d"," road map planning","1"
"scientist d","administration","1"
"scientist d","applied reseaech in the field of materials development","1"
"scientist d","artificial intelligence","1"
"scientist d","authorized representative drawing and disbursing (ddo), matter related to tds, gst etc","1"
"scientist d","checks the facts with regards to proposal keeping in mind existing rules, provisions, and legal precedents","1"
"scientist d","co-ordination between the stakeholders","1"
"scientist d","co-ordination with design consultants and manufacturing partners for development of engines","1"
"scientist d","conducting research projects","1"
"scientist d","coordination on mod clearances for wind power projects","1"
"scientist d","cyber security","1"
"scientist d","defence research and development projects","1"
"scientist d","design and development of e-governance applications for g2g","1"
"scientist d","design engines for armoured fighting vehicles.","1"
"scientist d","development of robots","1"
"scientist d","electronics cooling","1"
"scientist d","fish taxonomy","1"
"scientist d","frame policies","1"
"scientist d","give inputs on international agreements treaties conventions in the field of marine sciences","1"
"scientist d","imparting training to government officials","1"
"scientist d","implementation of schemes on wind energy","1"
"scientist d","implementation of wind projects through bidding process by seci","1"
"scientist d","interaction with user","1"
"scientist d","literature review","1"
"scientist d","managing the development team","1"
"scientist d","mariculture","1"
"scientist d","mechanical design","1"
"scientist d","mechanical engineering","1"
"scientist d","mechatronics","1"
"scientist d","mentoring students","1"
"scientist d","mentoring the newly joined professionals","1"
"scientist d","network administration","1"
"scientist d","nodal office dge &t, esdm and digital literacy courses","1"
"scientist d","nodal officer for dlc (ccc/bcc/cccp/ecc) examination activity","1"
"scientist d","nodal officer nsqf, aspirational districts esdm and short term courses at nielit ajmer","1"
"scientist d","offshore wind energy initiatives","1"
"scientist d","organising research activities","1"
"scientist d","ornamental fish breeding ","1"
"scientist d","over all coordinator of all the activities of the center as dir in charge for nielit ajmer and extension center at pali","1"
"scientist d","planning","1"
"scientist d","ploicy framing ","1"
"scientist d","policy formulation","1"
"scientist d","procurement ","1"
"scientist d","providing guidance to students and other researchers in the similar fields.","1"
"scientist d","purchase","1"
"scientist d","report writing","1"
"scientist d","research and program implementation","1"
"scientist d","research in the fields specified in the role.","1"
"scientist d","rlmm","1"
"scientist d","server administration","1"
"scientist d","simulation","1"
"scientist d","software engineering","1"
"scientist d","study","1"
"scientist d","thermal management of electronics","1"
"scientist d","to review r&d activity in the country thriugh different activity","1"
"scientist d","wind resource assessment ","1"
"scientist d","work on various projects and studies - proposal write up","1"
"scientist d","writing research papers","1"
"under secretary"," delivering consular service to applicants","1"
"under secretary"," drafting communications analysis of ","1"
"under secretary"," ensure the proposals are as per the government policies/guidelines.","1"
"under secretary"," handling/working on oci portal","1"
"under secretary"," issue of financial sanctions","1"
"under secretary"," market research ","1"
"under secretary"," matters related to establishment/adminstration","1"
"under secretary"," personal review of progress made by states/uts on quantifiable deliverable","1"
"under secretary"," supervising subordinates","1"
"under secretary"," visit to the ground level units","1"
"under secretary","administrative","1"
"under secretary","amc of vehicles, computers, printers, air conditioners and for providing flowers","1"
"under secretary","analysis in terms of existing rules and legal provisions","1"
"under secretary","analysis of gaps and ways to mitigate those gaps","1"
"under secretary","arbitration case","1"
"under secretary","be responsible for the effective implementation, co-ordination, ministerial supervision of sanctioned metro rail projects of lucknow metro rail project, kanpur metro rail project, agra metro rail project of uttar pradesh metro rail corporation limited and kochi metro rail corporation limited and for evaluation,  sanction or refusal of  metro rail project proposals after getting  the  appraisal note with  detailed project report (dpr) , comprehensive mobility plan (cmp), alternatives analysis report (aar) of   kochi phase 1a of kochi metro rail corporation limited of kerala ;  noida sector 51 to greater noida knowledge park of noida metro rail corporation limited of uttar pradesh and dehardun metro neo project of uttara khand. these metro projects have been included in the national infrastructure pipeline (nip)","1"
"under secretary","business matchmaking","1"
"under secretary","communication with other ministries departments and foreign offices","1"
"under secretary","coordinating for supplementary information","1"
"under secretary","coordination with different stake holders","1"
"under secretary","coordination with stakeholders ","1"
"under secretary","court cases and filing of affidavits ","1"
"under secretary","developing insight for plan formulation and implementation thereof","1"
"under secretary","developing measurable targets ","1"
"under secretary","devising mechanisms for implementation and monitoring ","1"
"under secretary","drafting policy document","1"
"under secretary","effective supervision ","1"
"under secretary","engagement of technical consultant for nic","1"
"under secretary","ensure the financial rules and guidelines are not violated.","1"
"under secretary","ensuring actions on the public grievances","1"
"under secretary","examination of inputs for policy formulation","1"
"under secretary","examination of proposal","1"
"under secretary","examining previous precedents","1"
"under secretary","examining project proposals ","1"
"under secretary","exercising administrative controls","1"
"under secretary","handling national evidhan application for digital legislatures and financial management in the ministry","1"
"under secretary","handling/working c-visa system","1"
"under secretary","hiring of deo, dw,  driver and safai karamchari ","1"
"under secretary","increasing efficiency of channel of work","1"
"under secretary","institutional dialogue","1"
"under secretary","issue of administrative appointments","1"
"under secretary","managing staff","1"
"under secretary","matters related to policy implementation/ policy formulation ","1"
"under secretary","monitoring implementation of the projects","1"
"under secretary","negotiations","1"
"under secretary","organisation & method","1"
"under secretary","organising of webinars on various issues","1"
"under secretary","organising stakeholders' consultations","1"
"under secretary","organizing events","1"
"under secretary","policy matters and comments of cabinet notes and efc memos","1"
"under secretary","preparation of notes","1"
"under secretary","preparing necessary guidelines ","1"
"under secretary","preparing policy papers ","1"
"under secretary","preparing proposal for appraisal and approval including note for expenditure finance committee and note for the cabinet or cabinet committees","1"
"under secretary","processing proposals","1"
"under secretary","protocol duties","1"
"under secretary","re-appropriation of funds","1"
"under secretary","requesting smokers to stop smoking by counselling them. tobacco in any form like smoking","1"
"under secretary","reservation","1"
"under secretary","right to information","1"
"under secretary","selection of young professionals and consultants","1"
"under secretary","special campaign for disposal of pending matters ","1"
"under secretary","study the new proposal","1"
"under secretary","to examine and suggest the possible suggestion to higher authorities to enable them to take a decision.","1"
"under secretary","work out strategies for mobilizing resources","1"
"income tax officer","assessment","2"
"income tax officer"," audit objection resolution","1"
"income tax officer"," audit role","1"
"income tax officer"," demand collection","1"
"income tax officer"," determining the income within the purview of the income tax act","1"
"income tax officer"," preparation of budget proposals for setting up various taxpayer services","1"
"income tax officer"," recovery ","1"
"income tax officer"," transfer pricing","1"
"income tax officer","administration of headquarters work","1"
"income tax officer","analysis of income tax records to check whether income disclosed properly","1"
"income tax officer","assessment work","1"
"income tax officer","assessment, collection of tax, grievance handling, taxpayer services, represent department in court etc","1"
"income tax officer","awareness programme for the tax payers and to extend maximum help to reduce the grievance. ","1"
"income tax officer","completion of incometax penalties","1"
"income tax officer","completion of incometax scrutiny assessments","1"
"income tax officer","drafting new schemes and proposals as directed","1"
"income tax officer","duty assigning","1"
"income tax officer","ensuring proper direct tax payment by tax payers","1"
"income tax officer","field verification ","1"
"income tax officer","filling of appeal in itathc & sc ","1"
"income tax officer","going through the financial statements and determining its bonafide by cross checking it with third parties and statutory authorities","1"
"income tax officer","grievance redressal","1"
"income tax officer","income tax officer","1"
"income tax officer","international taxation","1"
"income tax officer","investigation","1"
"income tax officer","passing of orders manage grievances, handling different works","1"
"income tax officer","penalty order preparation","1"
"income tax officer","recovery","1"
"income tax officer","scrutinize income tax returns, participating in search survey operations, preparing to  ","1"
"income tax officer","scrutiny assessment","1"
"income tax officer","service of notice ","1"
"income tax officer","sustainable development goals","1"
"income tax officer","taxpayer services","1"
"income tax officer","to prevent tax evasion ","1"
"income tax officer","verification of cases ","1"
"assistant commissioner","adjudication","3"
"assistant commissioner","assessment","3"
"assistant commissioner"," adjudication","2"
"assistant commissioner"," refund","2"
"assistant commissioner","personnel management","2"
"assistant commissioner"," administration ","1"
"assistant commissioner"," arrest","1"
"assistant commissioner"," cgst","1"
"assistant commissioner"," custom duty","1"
"assistant commissioner"," defending and prosecuting legal cases","1"
"assistant commissioner"," export","1"
"assistant commissioner"," gst","1"
"assistant commissioner"," igst","1"
"assistant commissioner"," import","1"
"assistant commissioner"," indirect taxes","1"
"assistant commissioner"," intelligence","1"
"assistant commissioner"," prosecution","1"
"assistant commissioner"," recovery","1"
"assistant commissioner"," reports","1"
"assistant commissioner"," search","1"
"assistant commissioner"," seizure","1"
"assistant commissioner"," train oneself towards the service","1"
"assistant commissioner"," ugst","1"
"assistant commissioner"," vigilance functions","1"
"assistant commissioner","adjudication of cases and supervision of officers","1"
"assistant commissioner","administration","1"
"assistant commissioner","administration and establishment of division and range offices","1"
"assistant commissioner","ant-evasion","1"
"assistant commissioner","anti evasion","1"
"assistant commissioner","communication","1"
"assistant commissioner","data analysis","1"
"assistant commissioner","detection and investigation of tax cases","1"
"assistant commissioner","drafting of assessment orders","1"
"assistant commissioner","drawback","1"
"assistant commissioner","enforecement","1"
"assistant commissioner","executive irs","1"
"assistant commissioner","finance and accounting ","1"
"assistant commissioner","igst refund","1"
"assistant commissioner","inspection of food premises and sampling of food articles. improve hygiene condition to maintain the public health. ","1"
"assistant commissioner","investigation of financials","1"
"assistant commissioner","issue of refunds","1"
"assistant commissioner","learn the acts","1"
"assistant commissioner","monitor various tasks performed at range office level","1"
